OCR,T,P,c
525.24,26.28,0.7,2.09
525.31,26.26,0.7,2.09
525.41,26.24,0.7,2.09
525.5,26.22,0.69,2.09
525.64,26.2,0.69,2.09
525.7,26.18,0.69,2.09
525.79,26.16,0.69,2.09
525.82,26.14,0.69,2.09
525.93,26.13,0.69,2.09
525.98,26.11,0.69,2.09
526.1,26.1,0.69,2.09
526.16,26.08,0.69,2.09
526.28,26.06,0.69,2.09
526.33,26.04,0.69,2.09
526.42,26.02,0.69,2.08
526.49,26,0.69,2.08
526.59,25.98,0.69,2.08
526.66,25.97,0.69,2.08
526.71,25.95,0.69,2.08
526.79,25.94,0.69,2.08
526.86,25.92,0.69,2.08
526.9,25.91,0.69,2.08
527.01,25.89,0.69,2.08
527.11,25.86,0.69,2.08
527.22,25.85,0.69,2.08
527.29,25.83,0.69,2.08
527.36,25.82,0.69,2.08
527.39,25.81,0.69,2.08
527.5,25.79,0.69,2.08
527.59,25.77,0.69,2.08
527.65,25.76,0.68,2.08
527.73,25.74,0.69,2.08
527.78,25.73,0.68,2.08
527.87,25.71,0.68,2.08
527.94,25.7,0.68,2.08
527.96,25.68,0.68,2.08
528.07,25.67,0.68,2.08
528.15,25.64,0.68,2.08
528.24,25.63,0.68,2.08
528.32,25.61,0.68,2.08
528.39,25.6,0.68,2.08
528.43,25.58,0.68,2.08
528.54,25.57,0.68,2.08
528.61,25.56,0.68,2.08
528.65,25.54,0.68,2.08
528.73,25.53,0.68,2.09
528.78,25.52,0.68,2.08
528.79,25.5,0.68,2.08
528.9,25.49,0.68,2.08
528.95,25.48,0.68,2.08
529.01,25.46,0.68,2.08
529.03,25.44,0.68,2.08
529.16,25.43,0.68,2.08
529.17,25.43,0.68,2.08
529.22,25.42,0.68,2.08
529.27,25.41,0.68,2.08
529.3,25.74,0.7,2.08
530.08,25.86,0.96,2.09
512.92,28.95,1,2.31
506.09,29.49,1,1.53
509.07,29.28,1.02,1.66
511.58,28.89,1.01,1.85
511.91,28.57,1,1.78
513.18,28.35,1.01,1.7
513.03,28.35,1.03,1.72
510.79,28.71,1.05,1.66
507.73,29.34,1.05,1.62
504.49,30.02,1.07,1.59
502.72,30.46,1.05,1.61
501.5,30.74,1.05,1.64
501.05,30.88,1.05,1.67
500.62,30.98,1.08,1.69
500.03,31.1,1.09,1.7
499.08,31.29,1.1,1.7
498.29,31.48,1.11,1.7
497.55,31.64,1.12,1.71
497.05,31.75,1.12,1.71
496.72,31.83,1.13,1.72
496.35,31.91,1.13,1.73
495.98,31.99,1.13,1.73
495.75,32.04,1.14,1.73
495.65,32.08,1.15,1.74
495.57,32.1,1.15,1.74
495.04,32.19,1.16,1.74
494.25,32.36,1.17,1.73
493.03,32.6,1.19,1.73
491.68,32.88,1.2,1.72
490.81,33.08,1.2,1.73
490.21,33.22,1.2,1.74
489.67,33.33,1.19,1.75
488.75,33.5,1.2,1.74
488.28,33.63,1.2,1.75
487.93,33.7,1.2,1.75
487.8,33.74,1.2,1.76
487.6,33.78,1.2,1.76
487.62,33.78,1.2,1.76
487.53,33.79,1.2,1.76
487.38,33.84,1.2,1.76
486.99,33.91,1.21,1.76
486.6,33.99,1.21,1.76
486.25,34.05,1.2,1.76
485.92,34.12,1.21,1.76
485.3,34.24,1.21,1.76
484.91,34.37,1.21,1.76
484.58,34.45,1.21,1.78
484.2,34.53,1.2,1.79
484.24,34.55,1.2,1.8
484.11,34.56,1.2,1.81
483.92,34.6,1.2,1.81
483.58,34.65,1.21,1.81
483.08,34.77,1.22,1.8
482.15,34.94,1.23,1.8
481.28,35.13,1.22,1.8
480.27,35.32,1.22,1.79
479.87,35.47,1.22,1.8
479.23,35.59,1.23,1.82
478.86,35.68,1.22,1.82
478.32,35.78,1.2,1.82
477.73,35.88,1.2,1.81
477.79,35.91,1.2,1.82
478.16,35.85,1.2,1.84
478.28,35.79,1.2,1.84
478.17,35.8,1.21,1.83
477.5,35.93,1.21,1.82
476.42,36.13,1.22,1.81
475.29,36.38,1.23,1.81
474.16,36.63,1.24,1.81
473.11,36.85,1.24,1.82
472.5,36.96,1.22,1.82
472.4,37.02,1.21,1.83
471.91,37.04,1.2,1.82
472.16,37.05,1.2,1.81
474.24,36.75,0.88,1.86
476.18,36.44,0.86,1.93
477.9,36.13,0.86,1.99
479.51,35.79,0.86,2.02
481.75,35.41,0.87,2.06
483.85,35.01,0.89,2.1
486.18,34.57,0.92,2.13
487.39,34.24,0.94,2.13
488.93,34.01,0.94,2.11
490.12,33.76,0.94,2.11
491.39,33.46,0.93,2.16
492.02,33.23,0.92,2.12
493.11,32.99,0.92,2.1
494.2,32.77,0.91,2.07
495.13,32.55,0.89,2.05
496.1,32.34,0.88,2.04
497.13,32.12,0.87,2.03
498.15,31.91,0.86,2.03
499.14,31.7,0.85,2.02
500.04,31.5,0.84,2.02
500.87,31.31,0.83,2.01
501.7,31.12,0.83,2
502.52,30.95,0.82,1.99
503.31,30.77,0.82,1.99
504.12,30.59,0.81,1.98
504.92,30.42,0.81,1.97
505.7,30.26,0.81,1.97
506.4,30.1,0.8,1.97
507.11,29.95,0.8,1.96
507.78,29.8,0.8,1.96
508.43,29.66,0.8,1.95
509.04,29.52,0.79,1.95
509.64,29.39,0.79,1.94
510.14,29.27,0.79,1.94
510.72,29.15,0.79,1.93
511.23,29.03,0.78,1.93
511.76,28.91,0.78,1.92
512.32,28.8,0.78,1.92
512.83,28.68,0.78,1.92
513.36,28.57,0.77,1.92
513.9,28.46,0.77,1.91
514.37,28.35,0.77,1.91
514.84,28.25,0.76,1.91
515.28,28.15,0.76,1.91
515.71,28.06,0.76,1.9
516.09,27.97,0.76,1.9
516.47,27.89,0.76,1.89
516.86,27.8,0.76,1.89
517.24,27.72,0.76,1.89
517.61,27.64,0.75,1.89
518.01,27.56,0.75,1.89
518.37,27.48,0.75,1.89
518.73,27.4,0.75,1.89
519.08,27.33,0.75,1.89
519.4,27.26,0.74,1.89
519.67,27.19,0.74,1.88
519.96,27.12,0.74,1.88
520.24,27.06,0.74,1.87
520.53,27,0.74,1.87
520.83,26.93,0.74,1.87
521.09,26.87,0.73,1.87
521.38,26.82,0.73,1.87
521.64,26.76,0.73,1.87
521.84,26.7,0.73,1.86
522.16,26.64,0.73,1.86
522.42,26.59,0.73,1.86
522.58,26.53,0.73,1.86
522.88,26.48,0.72,1.86
523.05,26.43,0.72,1.85
523.29,26.39,0.72,1.85
523.52,26.34,0.72,1.85
768.66,-24.26,0.58,4.98
759.14,-22.32,0.57,4.98
745.11,-19.24,0.6,4.76
739.6,-18.55,0.59,4.31
731.13,-15.1,0.61,5.72
711.17,-9.97,0.81,6.29
688.25,-4.93,0.61,6.22
666.71,-0.08,0.6,6.27
663.11,0.18,0.45,5.79
750.55,-20.17,0.58,4.77
728.57,-15.11,0.6,5.21
705.8,-9.83,0.6,5.39
684.38,-5.02,0.59,5.4
662.12,0,0.6,5.48
739.11,-20.05,0.11,2.83
719.49,-14.97,0.15,3.53
698.55,-10,0.19,3.8
676.87,-4.97,0.24,3.99
653.47,0,0.29,4.17
733.08,-19.74,0.12,1.97
711.73,-14.87,0.15,2.1
690.85,-10.12,0.19,2.22
667.88,-4.94,0.23,2.27
646.33,0.13,0.34,2.32
735.64,-19.77,0.49,2.44
714.47,-14.89,0.57,2.62
692.97,-9.96,0.58,2.76
671.57,-5.08,0.61,2.86
648.87,0.09,0.62,2.99
736.63,-20.02,0.6,2.7
713.75,-14.75,0.61,2.6
693.61,-10.18,0.6,2.7
670.24,-4.87,0.6,2.79
648.92,-0.05,0.6,2.87
768.97,-19.83,0.11,8.91
746.52,-14.84,0.15,8.93
725.11,-10.06,0.19,8.9
703.42,-5.08,0.24,9.01
682.11,-0.14,0.29,9.15
762.25,-19.93,0.12,7.54
740.68,-15.02,0.15,7.64
719.76,-10.22,0.19,7.73
697.13,-5.09,0.24,7.79
675.48,-0.21,0.31,7.84
763.45,-19.89,0.12,7.87
741.35,-14.88,0.15,7.88
720.04,-10.1,0.19,7.89
697.98,-5.09,0.24,7.95
676.03,-0.08,0.29,8.03
757.55,-19.9,0.36,6.7
736.86,-15.09,0.43,6.83
715.71,-10.14,0.52,7.02
693.31,-4.97,0.56,7.15
671.23,0.06,0.59,7.24
