OCR,T,P,c
462.52,43.27,1.36,5.21
462.59,43.26,1.35,5.22
462.96,43.18,1.34,5.21
463.07,43.16,1.35,5.21
463.17,43.15,1.34,5.21
463,43.17,1.35,5.21
462.67,43.25,1.35,5.21
463.09,43.15,1.34,5.21
462.92,43.17,1.35,5.2
462.8,43.21,1.35,5.2
463.04,43.16,1.34,5.2
463.24,43.11,1.35,5.2
462.77,43.22,1.35,5.2
463.12,43.14,1.34,5.21
462.99,43.17,1.35,5.2
462.71,43.23,1.35,5.21
463,43.17,1.35,5.2
462.84,43.22,1.34,5.21
500.63,39.47,1,12
483.97,39.03,0.99,5.36
484.36,38.96,0.99,5.32
484.92,38.86,0.98,5.31
485.68,38.8,0.98,5.34
486.07,38.68,0.98,5.35
486.47,38.49,0.97,5.32
487.14,38.33,0.97,5.29
487.87,38.17,0.96,5.27
488.69,38.01,0.96,5.25
489.28,37.84,0.96,5.24
489.98,37.67,0.95,5.22
490.8,37.49,0.95,5.21
491.45,37.32,0.94,5.19
492.32,37.15,0.94,5.18
493.05,36.99,0.94,5.17
493.91,36.82,0.93,5.17
494.62,36.67,0.93,5.16
495.32,36.52,0.93,5.16
496.01,36.36,0.92,5.16
496.62,36.23,0.92,5.15
497.26,36.1,0.92,5.14
497.84,35.97,0.91,5.14
498.5,35.84,0.91,5.14
498.92,35.72,0.91,5.13
499.48,35.61,0.9,5.13
499.95,35.51,0.9,5.13
500.42,35.41,0.9,5.12
500.9,35.31,0.9,5.12
501.39,35.22,0.89,5.12
501.82,35.12,0.89,5.13
502.31,35.03,0.89,5.13
502.77,34.94,0.89,5.13
503.19,34.86,0.88,5.14
503.58,34.75,0.88,5.13
504.52,34.56,0.88,5.13
504.88,34.48,0.88,5.12
505.18,34.42,0.88,5.12
505.45,34.37,0.88,5.12
505.68,34.33,0.88,5.13
505.94,34.28,0.87,5.13
506.16,34.23,0.87,5.13
506.43,34.18,0.87,5.13
506.65,34.13,0.87,5.14
506.89,34.08,0.87,5.14
507.09,34.04,0.87,5.14
507.27,34,0.87,5.14
507.52,33.97,0.86,5.14
507.74,33.92,0.86,5.15
507.97,33.88,0.86,5.15
508.17,33.84,0.86,5.15
508.45,33.8,0.86,5.16
508.65,33.76,0.86,5.16
508.85,33.71,0.86,5.17
509.11,33.67,0.86,5.17
509.27,33.63,0.86,5.17
509.46,33.58,0.85,5.17
509.65,33.54,0.85,5.17
509.83,33.5,0.85,5.17
510.11,33.46,0.85,5.17
510.33,33.42,0.85,5.17
510.5,33.38,0.85,5.18
510.69,33.34,0.85,5.18
510.82,33.3,0.85,5.17
510.99,33.26,0.85,5.17
511.23,33.22,0.85,5.17
511.32,33.19,0.84,5.17
511.47,33.15,0.84,5.17
